"scenario","rung","base_m","m_total","method","n_reps","Psi","bias","emp_sd","mean_se","se_ratio","coverage","mcse_cov","mean_df","deff_clust","icc_eif"
"standard","L1_param",6,60,"Fully-Aware",1000,0.2092,0.0183,0.0435,0.0449,1.0321,0.939,0.0076,50,1.2464,0.0338
"standard","L1_param",6,60,"Fully-Aware-CF",1000,0.2092,0.0195,0.0444,0.0468,1.054,0.949,0.007,50,1.2464,0.0338
"standard","L1_param",6,60,"Partially-Aware",1000,0.2092,0.0183,0.0435,0.0405,0.9314,0.918,0.0087,1517,1.2464,0.0338
"standard","L1_param",6,60,"Non-Aware",1000,0.2092,0.0312,0.0393,0.0245,0.6242,0.638,0.0152,1517,1.2464,0.0338
"standard","L1_param",12,120,"Fully-Aware",1000,0.2092,0.0169,0.0321,0.032,0.9979,0.914,0.0089,110,1.2651,0.0361
"standard","L1_param",12,120,"Fully-Aware-CF",1000,0.2092,0.0183,0.0327,0.0323,0.9868,0.912,0.009,110,1.2651,0.0361
"standard","L1_param",12,120,"Partially-Aware",1000,0.2092,0.0169,0.0321,0.0286,0.8901,0.88,0.0103,3035,1.2651,0.0361
"standard","L1_param",12,120,"Non-Aware",1000,0.2092,0.0306,0.0287,0.0173,0.6017,0.536,0.0158,3035,1.2651,0.0361
"standard","L1_param",20,200,"Fully-Aware",1000,0.2092,0.0172,0.0241,0.0249,1.0316,0.899,0.0095,190,1.2692,0.0369
"standard","L1_param",20,200,"Fully-Aware-CF",1000,0.2092,0.0189,0.0245,0.0249,1.0171,0.888,0.01,190,1.2692,0.0369
"standard","L1_param",20,200,"Partially-Aware",1000,0.2092,0.0172,0.0241,0.0222,0.9173,0.858,0.011,5059,1.2692,0.0369
"standard","L1_param",20,200,"Non-Aware",1000,0.2092,0.0293,0.0219,0.0134,0.611,0.425,0.0156,5059,1.2692,0.0369
"standard","L1_param",30,300,"Fully-Aware",1000,0.2092,0.0188,0.0193,0.0204,1.0578,0.869,0.0107,290,1.2705,0.0377
"standard","L1_param",30,300,"Fully-Aware-CF",1000,0.2092,0.0205,0.0195,0.0203,1.0437,0.848,0.0114,290,1.2705,0.0377
"standard","L1_param",30,300,"Partially-Aware",1000,0.2092,0.0188,0.0193,0.0181,0.9397,0.806,0.0125,7589,1.2705,0.0377
"standard","L1_param",30,300,"Non-Aware",1000,0.2092,0.0308,0.0156,0.0109,0.7,0.27,0.014,7589,1.2705,0.0377
"standard","L3_adaptive",6,60,"Fully-Aware",1000,0.2092,0.0113,0.0438,0.0392,0.8942,0.9,0.0095,50,1.2802,0.0314
"standard","L3_adaptive",6,60,"Fully-Aware-CF",1000,0.2092,0.0121,0.0441,0.0467,1.0596,0.943,0.0073,50,1.2802,0.0314
"standard","L3_adaptive",6,60,"Fully-Aware-CV",1000,0.2092,0.009,0.0473,0.0344,0.7283,0.833,0.0118,50,1.2802,0.0314
"standard","L3_adaptive",6,60,"Partially-Aware",1000,0.2092,0.0113,0.0438,0.0349,0.7975,0.856,0.0111,1517,1.2802,0.0314
"standard","L3_adaptive",6,60,"Non-Aware",1000,0.2092,0.0256,0.0391,0.0227,0.5808,0.655,0.015,1517,1.2802,0.0314
"standard","L3_adaptive",12,120,"Fully-Aware",1000,0.2092,0.007,0.0328,0.0281,0.855,0.892,0.0098,110,1.2899,0.0335
"standard","L3_adaptive",12,120,"Fully-Aware-CF",1000,0.2092,0.0075,0.0324,0.0321,0.9931,0.944,0.0073,110,1.2899,0.0335
"standard","L3_adaptive",12,120,"Fully-Aware-CV",1000,0.2092,0.0066,0.0318,0.0263,0.8293,0.884,0.0101,110,1.2899,0.0335
"standard","L3_adaptive",12,120,"Partially-Aware",1000,0.2092,0.007,0.0328,0.0248,0.7566,0.847,0.0114,3035,1.2899,0.0335
"standard","L3_adaptive",12,120,"Non-Aware",1000,0.2092,0.0222,0.0284,0.0161,0.5667,0.611,0.0154,3035,1.2899,0.0335
"standard","L3_adaptive",20,200,"Fully-Aware",1000,0.2092,0.0057,0.0246,0.0222,0.9034,0.9,0.0095,190,1.2894,0.0345
"standard","L3_adaptive",20,200,"Fully-Aware-CF",1000,0.2092,0.0057,0.0241,0.0248,1.0302,0.946,0.0071,190,1.2894,0.0345
"standard","L3_adaptive",20,200,"Fully-Aware-CV",1000,0.2092,0.0056,0.0239,0.021,0.8791,0.899,0.0095,190,1.2894,0.0345
"standard","L3_adaptive",20,200,"Partially-Aware",1000,0.2092,0.0057,0.0246,0.0196,0.7978,0.864,0.0108,5059,1.2894,0.0345
"standard","L3_adaptive",20,200,"Non-Aware",1000,0.2092,0.0192,0.0217,0.0126,0.5814,0.579,0.0156,5059,1.2894,0.0345
"standard","L3_adaptive",30,300,"Fully-Aware",1000,0.2092,0.0066,0.0196,0.0183,0.9344,0.912,0.009,290,1.2866,0.0352
"standard","L3_adaptive",30,300,"Fully-Aware-CF",1000,0.2092,0.0064,0.019,0.0202,1.0647,0.956,0.0065,290,1.2866,0.0352
"standard","L3_adaptive",30,300,"Fully-Aware-CV",1000,0.2092,0.0067,0.0191,0.0174,0.9088,0.901,0.0094,290,1.2866,0.0352
"standard","L3_adaptive",30,300,"Partially-Aware",1000,0.2092,0.0066,0.0196,0.0162,0.8256,0.871,0.0106,7589,1.2866,0.0352
"standard","L3_adaptive",30,300,"Non-Aware",1000,0.2092,0.0199,0.0154,0.0104,0.6725,0.515,0.0158,7589,1.2866,0.0352
"standard","RF_shallow",6,60,"Fully-Aware",1000,0.2092,0.195,0.1154,0.0232,0.2009,0.082,0.0087,50,1.365,0.0421
"standard","RF_shallow",6,60,"Fully-Aware-CF",1000,0.2092,0.0013,0.0453,0.0633,1.3979,0.982,0.0042,50,1.365,0.0421
"standard","RF_shallow",6,60,"Partially-Aware",1000,0.2092,0.195,0.1154,0.02,0.1735,0.069,0.008,1517,1.365,0.0421
"standard","RF_shallow",6,60,"Non-Aware",1000,0.2092,0.0879,0.0434,0.0139,0.3191,0.077,0.0084,1517,1.365,0.0421
"standard","RF_shallow",12,120,"Fully-Aware",1000,0.2092,0.1683,0.1043,0.0163,0.1567,0.095,0.0093,110,1.3535,0.0417
"standard","RF_shallow",12,120,"Fully-Aware-CF",1000,0.2092,-9e-04,0.0323,0.0427,1.3222,0.99,0.0031,110,1.3535,0.0417
"standard","RF_shallow",12,120,"Partially-Aware",1000,0.2092,0.1683,0.1043,0.0141,0.1356,0.078,0.0085,3035,1.3535,0.0417
"standard","RF_shallow",12,120,"Non-Aware",1000,0.2092,0.0606,0.0302,0.0097,0.3219,0.086,0.0089,3035,1.3535,0.0417
"standard","RF_shallow",20,200,"Fully-Aware",1000,0.2092,0.1531,0.0937,0.0126,0.1341,0.073,0.0082,190,1.3395,0.0405
"standard","RF_shallow",20,200,"Fully-Aware-CF",1000,0.2092,-5e-04,0.0247,0.0324,1.3114,0.985,0.0038,190,1.3395,0.0405
"standard","RF_shallow",20,200,"Partially-Aware",1000,0.2092,0.1531,0.0937,0.0109,0.1165,0.058,0.0074,5059,1.3395,0.0405
"standard","RF_shallow",20,200,"Non-Aware",1000,0.2092,0.0472,0.0234,0.0075,0.3218,0.087,0.0089,5059,1.3395,0.0405
"standard","RF_shallow",30,300,"Fully-Aware",1000,0.2092,0.1409,0.0895,0.0102,0.1142,0.071,0.0081,290,1.3427,0.0398
"standard","RF_shallow",30,300,"Fully-Aware-CF",1000,0.2092,0.001,0.0191,0.0261,1.3665,0.992,0.0028,290,1.3427,0.0398
"standard","RF_shallow",30,300,"Partially-Aware",1000,0.2092,0.1409,0.0895,0.0089,0.0991,0.054,0.0071,7589,1.3427,0.0398
"standard","RF_shallow",30,300,"Non-Aware",1000,0.2092,0.0419,0.0169,0.0061,0.3624,0.038,0.006,7589,1.3427,0.0398
"standard","L4_aggressive",6,60,"Fully-Aware",1000,0.2092,0.115,0.139,0.0237,0.1704,0.2,0.0126,50,1.4017,0.0361
"standard","L4_aggressive",6,60,"Fully-Aware-CF",1000,0.2092,0.0018,0.0459,0.0666,1.4492,0.986,0.0037,50,1.4017,0.0361
"standard","L4_aggressive",6,60,"Partially-Aware",1000,0.2092,0.115,0.139,0.0202,0.1453,0.146,0.0112,1517,1.4017,0.0361
"standard","L4_aggressive",6,60,"Non-Aware",1000,0.2092,0.0713,0.0373,0.0142,0.3799,0.109,0.0099,1517,1.4017,0.0361
"standard","L4_aggressive",12,120,"Fully-Aware",1000,0.2092,0.0688,0.1335,0.0166,0.1245,0.169,0.0119,110,1.3944,0.0359
"standard","L4_aggressive",12,120,"Fully-Aware-CF",1000,0.2092,-4e-04,0.0335,0.0444,1.3274,0.98,0.0044,110,1.3944,0.0359
"standard","L4_aggressive",12,120,"Partially-Aware",1000,0.2092,0.0688,0.1335,0.0142,0.106,0.141,0.011,3035,1.3944,0.0359
"standard","L4_aggressive",12,120,"Non-Aware",1000,0.2092,0.0526,0.0299,0.01,0.3333,0.13,0.0106,3035,1.3944,0.0359
"standard","L4_aggressive",20,200,"Fully-Aware",1000,0.2092,0.0467,0.1222,0.0129,0.1059,0.127,0.0105,190,1.4018,0.0349
"standard","L4_aggressive",20,200,"Fully-Aware-CF",1000,0.2092,-4e-04,0.025,0.0338,1.3503,0.989,0.0033,190,1.4018,0.0349
"standard","L4_aggressive",20,200,"Partially-Aware",1000,0.2092,0.0467,0.1222,0.011,0.0898,0.1,0.0095,5059,1.4018,0.0349
"standard","L4_aggressive",20,200,"Non-Aware",1000,0.2092,0.0474,0.0254,0.0077,0.3032,0.101,0.0095,5059,1.4018,0.0349
"standard","L4_aggressive",30,300,"Fully-Aware",1000,0.2092,0.0353,0.1161,0.0106,0.091,0.12,0.0103,290,1.4003,0.0348
"standard","L4_aggressive",30,300,"Fully-Aware-CF",1000,0.2092,5e-04,0.019,0.0271,1.4229,0.992,0.0028,290,1.4003,0.0348
"standard","L4_aggressive",30,300,"Partially-Aware",1000,0.2092,0.0353,0.1161,0.009,0.0771,0.094,0.0092,7589,1.4003,0.0348
"standard","L4_aggressive",30,300,"Non-Aware",1000,0.2092,0.0476,0.0188,0.0063,0.333,0.031,0.0055,7589,1.4003,0.0348
