"example","label","cell","adjust","method","b","se","df","lcl","ucl","signif"
"E1","Short sleep -> obesity","E1_noPHQ","main","Fully-Aware",0.0359,0.0078,94,0.0205,0.0514,TRUE
"E1","Short sleep -> obesity","E1_noPHQ","main","Partially-Aware",0.0359,0.0082,30982,0.0199,0.0519,TRUE
"E1","Short sleep -> obesity","E1_noPHQ","main","Non-Aware",0.0355,0.0058,30982,0.0242,0.0468,TRUE
"E1","Short sleep -> obesity","E1_noPHQ","main","Fully-Aware-CV",0.0354,0.0077,94,0.0201,0.0507,TRUE
"E1","Short sleep -> obesity","E1_noPHQ","main","Fully-Aware-CF",0.0363,0.0076,94,0.0213,0.0513,TRUE
"E1","Short sleep -> obesity","E1_noPHQ","sensitivity","Fully-Aware",0.0398,0.0079,94,0.0242,0.0554,TRUE
"E1","Short sleep -> obesity","E1_noPHQ","sensitivity","Partially-Aware",0.0398,0.0082,30982,0.0238,0.0558,TRUE
"E1","Short sleep -> obesity","E1_noPHQ","sensitivity","Non-Aware",0.0399,0.0057,30982,0.0287,0.0512,TRUE
"E1","Short sleep -> obesity","E1_noPHQ","sensitivity","Fully-Aware-CV",0.0403,0.0078,94,0.0248,0.0558,TRUE
"E1","Short sleep -> obesity","E1_noPHQ","sensitivity","Fully-Aware-CF",0.0396,0.0077,94,0.0244,0.0548,TRUE
"E2","Food insecurity -> depression","E2_noBMI","main","Fully-Aware",0.0978,0.0118,94,0.0744,0.1212,TRUE
"E2","Food insecurity -> depression","E2_noBMI","main","Partially-Aware",0.0978,0.0115,29358,0.0753,0.1203,TRUE
"E2","Food insecurity -> depression","E2_noBMI","main","Non-Aware",0.0744,0.0062,29358,0.0622,0.0866,TRUE
"E2","Food insecurity -> depression","E2_noBMI","main","Fully-Aware-CV",0.0868,0.008,94,0.0709,0.1027,TRUE
"E2","Food insecurity -> depression","E2_noBMI","main","Fully-Aware-CF",0.0887,0.0079,94,0.073,0.1044,TRUE
