"example","label","cell","dropped","arm","b_main","lcl_main","ucl_main","signif_main","b_sens","lcl_sens","ucl_sens","signif_sens","d_b","d_lcl","d_ucl","rel_d_b","conclusion_flip"
"E1","Short sleep -> obesity","E1_noPHQ","phq","Fully-Aware-CF",0.0363,0.0213,0.0513,TRUE,0.0396,0.0244,0.0548,TRUE,0.0032,0.003,0.0034,0.0889,FALSE
"E1","Short sleep -> obesity","E1_noPHQ","phq","Fully-Aware",0.0359,0.0205,0.0514,TRUE,0.0398,0.0242,0.0554,TRUE,0.0039,0.0037,0.004,0.108,FALSE
"E2","Food insecurity -> depression","E2_noBMI","bmi","Fully-Aware-CF",0.0887,0.073,0.1044,TRUE,0.0946,0.079,0.1101,TRUE,0.0059,0.0061,0.0057,0.0661,FALSE
"E2","Food insecurity -> depression","E2_noBMI","bmi","Fully-Aware",0.0978,0.0744,0.1212,TRUE,0.1009,0.0774,0.1245,TRUE,0.0031,0.0029,0.0033,0.0317,FALSE
"E3","E-cigarette use -> hypertension","E3_noDIAB","diab","Fully-Aware-CF",0.0377,-0.003,0.0784,FALSE,0.0298,-0.0098,0.0695,FALSE,-0.0079,-0.0069,-0.0089,-0.2087,FALSE
"E3","E-cigarette use -> hypertension","E3_noDIAB","diab","Fully-Aware",0.0308,-0.0195,0.0811,FALSE,0.0347,-0.0175,0.0868,FALSE,0.0039,0.002,0.0057,0.1255,FALSE
"E3","E-cigarette use -> hypertension","E3_noBMI","bmi","Fully-Aware-CF",0.0377,-0.003,0.0784,FALSE,0.0422,0.001,0.0833,TRUE,0.0045,0.004,0.0049,0.1183,TRUE
"E3","E-cigarette use -> hypertension","E3_noBMI","bmi","Fully-Aware",0.0308,-0.0195,0.0811,FALSE,0.0268,-0.0278,0.0814,FALSE,-0.004,-0.0083,3e-04,-0.1292,FALSE
"E3","E-cigarette use -> hypertension","E3_noBOTH","bmi,diab","Fully-Aware-CF",0.0377,-0.003,0.0784,FALSE,0.0455,0.0054,0.0856,TRUE,0.0078,0.0083,0.0072,0.2056,TRUE
"E3","E-cigarette use -> hypertension","E3_noBOTH","bmi,diab","Fully-Aware",0.0308,-0.0195,0.0811,FALSE,0.0445,-0.0147,0.1038,FALSE,0.0137,0.0048,0.0227,0.4459,FALSE
"E4","GDM history -> hypertension","E4_noBMI","bmi","Fully-Aware-CF",0.0141,-0.0321,0.0603,FALSE,0.0437,-0.0051,0.0924,FALSE,0.0296,0.027,0.0321,2.0969,FALSE
"E4","GDM history -> hypertension","E4_noBMI","bmi","Fully-Aware",0.027,-0.0234,0.0773,FALSE,0.0543,-0.0037,0.1122,FALSE,0.0273,0.0197,0.0349,1.0114,FALSE
