"te","scenario","rung","method","n_reps","Psi","bias","emp_sd","mean_se","se_ratio","coverage","mcse_cov","reject_rate","mcse_reject","deff_clust","icc_eif"
0,"R1","L1_param","Fully-Aware",1000,0,0.0182,0.0274,0.0277,1.011,0.921,0.0085,0.079,0.0085,1.1883,0.014
0,"R1","L1_param","Fully-Aware-CF",1000,0,0.0195,0.0286,0.0286,1.0017,0.917,0.0087,0.083,0.0087,1.1883,0.014
0,"R1","L1_param","Partially-Aware",1000,0,0.0182,0.0274,0.0256,0.9338,0.876,0.0104,0.124,0.0104,1.1883,0.014
0,"R1","L1_param","Non-Aware",1000,0,0.0236,0.0259,0.0191,0.7359,0.694,0.0146,0.306,0.0146,1.1883,0.014
0,"R1","L2_smooth","Fully-Aware",1000,0,0.0125,0.0273,0.0273,1.0004,0.943,0.0073,0.057,0.0073,1.1882,0.0147
0,"R1","L2_smooth","Fully-Aware-CF",1000,0,0.0162,0.0284,0.0287,1.0114,0.937,0.0077,0.063,0.0077,1.1882,0.0147
0,"R1","L2_smooth","Fully-Aware-CV",1000,0,0.0112,0.0273,0.0273,0.9994,0.95,0.0069,0.05,0.0069,1.1882,0.0147
0,"R1","L2_smooth","Partially-Aware",1000,0,0.0125,0.0273,0.0252,0.9244,0.905,0.0093,0.095,0.0093,1.1882,0.0147
0,"R1","L2_smooth","Non-Aware",1000,0,0.0194,0.0258,0.0188,0.7316,0.742,0.0138,0.258,0.0138,1.1882,0.0147
0,"R1","L3_adaptive","Fully-Aware",1000,0,0.013,0.0277,0.025,0.9034,0.894,0.0097,0.106,0.0097,1.2046,0.0131
0,"R1","L3_adaptive","Fully-Aware-CF",1000,0,0.0154,0.0282,0.0286,1.0138,0.931,0.008,0.069,0.008,1.2046,0.0131
0,"R1","L3_adaptive","Fully-Aware-CV",1000,0,0.013,0.0266,0.021,0.7916,0.838,0.0117,0.162,0.0117,1.2046,0.0131
0,"R1","L3_adaptive","Partially-Aware",1000,0,0.013,0.0277,0.023,0.8299,0.846,0.0114,0.154,0.0114,1.2046,0.0131
0,"R1","L3_adaptive","Non-Aware",1000,0,0.0198,0.0261,0.0178,0.6823,0.703,0.0144,0.297,0.0144,1.2046,0.0131
0,"R1","L4_aggressive","Fully-Aware",1000,0,0.0066,0.0872,0.0159,0.1819,0.433,0.0157,0.567,0.0157,1.3252,0.011
0,"R1","L4_aggressive","Fully-Aware-CF",1000,0,0.0111,0.0284,0.0389,1.3721,0.989,0.0033,0.011,0.0033,1.3252,0.011
0,"R1","L4_aggressive","Partially-Aware",1000,0,0.0066,0.0872,0.0139,0.1594,0.377,0.0153,0.623,0.0153,1.3252,0.011
0,"R1","L4_aggressive","Non-Aware",1000,0,0.025,0.0556,0.0115,0.2071,0.283,0.0142,0.717,0.0142,1.3252,0.011
0,"standard","L1_param","Fully-Aware",1000,0,0.02,0.0351,0.036,1.0268,0.938,0.0076,0.062,0.0076,1.2592,0.0247
0,"standard","L1_param","Fully-Aware-CF",1000,0,0.0195,0.0358,0.0376,1.0514,0.944,0.0073,0.056,0.0073,1.2592,0.0247
0,"standard","L1_param","Partially-Aware",1000,0,0.02,0.0351,0.0324,0.9242,0.896,0.0097,0.104,0.0097,1.2592,0.0247
0,"standard","L1_param","Non-Aware",1000,0,0.0119,0.0361,0.0226,0.6277,0.762,0.0135,0.238,0.0135,1.2592,0.0247
0,"standard","L2_smooth","Fully-Aware",1000,0,0.0136,0.0348,0.0354,1.0153,0.948,0.007,0.052,0.007,1.2572,0.0248
0,"standard","L2_smooth","Fully-Aware-CF",1000,0,0.015,0.036,0.0379,1.0529,0.951,0.0068,0.049,0.0068,1.2572,0.0248
0,"standard","L2_smooth","Fully-Aware-CV",1000,0,0.0116,0.0349,0.0357,1.0226,0.956,0.0065,0.044,0.0065,1.2572,0.0248
0,"standard","L2_smooth","Partially-Aware",1000,0,0.0136,0.0348,0.0319,0.9147,0.917,0.0087,0.083,0.0087,1.2572,0.0248
0,"standard","L2_smooth","Non-Aware",1000,0,0.0071,0.0357,0.0224,0.6264,0.771,0.0133,0.229,0.0133,1.2572,0.0248
0,"standard","L3_adaptive","Fully-Aware",1000,0,0.0141,0.036,0.0321,0.8911,0.897,0.0096,0.103,0.0096,1.2904,0.0235
0,"standard","L3_adaptive","Fully-Aware-CF",1000,0,0.0139,0.0353,0.0376,1.0668,0.959,0.0063,0.041,0.0063,1.2904,0.0235
0,"standard","L3_adaptive","Fully-Aware-CV",1000,0,0.0133,0.0344,0.0261,0.7587,0.835,0.0117,0.165,0.0117,1.2904,0.0235
0,"standard","L3_adaptive","Partially-Aware",1000,0,0.0141,0.036,0.0286,0.7929,0.846,0.0114,0.154,0.0114,1.2904,0.0235
0,"standard","L3_adaptive","Non-Aware",1000,0,0.0071,0.036,0.021,0.5844,0.737,0.0139,0.263,0.0139,1.2904,0.0235
0,"standard","L4_aggressive","Fully-Aware",1000,0,0.0147,0.1177,0.0209,0.1771,0.443,0.0157,0.557,0.0157,1.4737,0.0234
0,"standard","L4_aggressive","Fully-Aware-CF",1000,0,0.0084,0.0354,0.0498,1.4078,0.983,0.0041,0.017,0.0041,1.4737,0.0234
0,"standard","L4_aggressive","Partially-Aware",1000,0,0.0147,0.1177,0.0174,0.148,0.368,0.0153,0.632,0.0153,1.4737,0.0234
0,"standard","L4_aggressive","Non-Aware",1000,0,6e-04,0.0743,0.0136,0.1835,0.269,0.014,0.731,0.014,1.4737,0.0234
0.3,"R1","L1_param","Fully-Aware",1000,0.0362,0.0174,0.0288,0.0295,1.0254,0.939,0.0076,0.423,0.0156,1.2112,0.0185
0.3,"R1","L1_param","Fully-Aware-CF",1000,0.0362,0.0193,0.0297,0.0304,1.022,0.927,0.0082,0.429,0.0157,1.2112,0.0185
0.3,"R1","L1_param","Partially-Aware",1000,0.0362,0.0174,0.0288,0.027,0.9386,0.909,0.0091,0.501,0.0158,1.2112,0.0185
0.3,"R1","L1_param","Non-Aware",1000,0.0362,0.031,0.0273,0.0196,0.7191,0.606,0.0155,0.859,0.011,1.2112,0.0185
0.3,"R1","L2_smooth","Fully-Aware",1000,0.0362,0.0112,0.0285,0.029,1.0174,0.958,0.0063,0.341,0.015,1.2105,0.0191
0.3,"R1","L2_smooth","Fully-Aware-CF",1000,0.0362,0.0152,0.0301,0.0307,1.0171,0.947,0.0071,0.372,0.0153,1.2105,0.0191
0.3,"R1","L2_smooth","Fully-Aware-CV",1000,0.0362,0.0098,0.0286,0.029,1.0152,0.956,0.0065,0.329,0.0149,1.2105,0.0191
0.3,"R1","L2_smooth","Partially-Aware",1000,0.0362,0.0112,0.0285,0.0266,0.9318,0.931,0.008,0.433,0.0157,1.2105,0.0191
0.3,"R1","L2_smooth","Non-Aware",1000,0.0362,0.0265,0.0272,0.0194,0.7138,0.654,0.015,0.822,0.0121,1.2105,0.0191
0.3,"R1","L3_adaptive","Fully-Aware",1000,0.0362,0.0119,0.0289,0.0264,0.9112,0.912,0.009,0.429,0.0157,1.2264,0.0171
0.3,"R1","L3_adaptive","Fully-Aware-CF",1000,0.0362,0.0153,0.0298,0.0304,1.0199,0.946,0.0071,0.366,0.0152,1.2264,0.0171
0.3,"R1","L3_adaptive","Fully-Aware-CV",1000,0.0362,0.0102,0.0276,0.0226,0.8197,0.875,0.0105,0.528,0.0158,1.2264,0.0171
0.3,"R1","L3_adaptive","Partially-Aware",1000,0.0362,0.0119,0.0289,0.024,0.8296,0.868,0.0107,0.515,0.0158,1.2264,0.0171
0.3,"R1","L3_adaptive","Non-Aware",1000,0.0362,0.027,0.0272,0.0183,0.6746,0.62,0.0153,0.841,0.0116,1.2264,0.0171
0.3,"R1","L4_aggressive","Fully-Aware",1000,0.0362,0.076,0.1218,0.0167,0.1374,0.318,0.0147,0.733,0.014,1.3245,0.0187
0.3,"R1","L4_aggressive","Fully-Aware-CF",1000,0.0362,0.0095,0.0301,0.0422,1.4011,0.991,0.003,0.086,0.0089,1.3245,0.0187
0.3,"R1","L4_aggressive","Partially-Aware",1000,0.0362,0.076,0.1218,0.0147,0.1207,0.267,0.014,0.778,0.0131,1.3245,0.0187
0.3,"R1","L4_aggressive","Non-Aware",1000,0.0362,0.0723,0.0525,0.0118,0.224,0.14,0.011,0.945,0.0072,1.3245,0.0187
0.3,"standard","L1_param","Fully-Aware",1000,0.0361,0.0196,0.0366,0.038,1.0366,0.941,0.0075,0.273,0.0141,1.2483,0.0265
0.3,"standard","L1_param","Fully-Aware-CF",1000,0.0361,0.0189,0.0375,0.0396,1.0552,0.944,0.0073,0.247,0.0136,1.2483,0.0265
0.3,"standard","L1_param","Partially-Aware",1000,0.0361,0.0196,0.0366,0.0343,0.9362,0.903,0.0094,0.359,0.0152,1.2483,0.0265
0.3,"standard","L1_param","Non-Aware",1000,0.0361,0.0157,0.0364,0.0232,0.6368,0.743,0.0138,0.575,0.0156,1.2483,0.0265
0.3,"standard","L2_smooth","Fully-Aware",1000,0.0361,0.0127,0.0365,0.0372,1.0189,0.947,0.0071,0.223,0.0132,1.2475,0.0265
0.3,"standard","L2_smooth","Fully-Aware-CF",1000,0.0361,0.0141,0.037,0.0398,1.0747,0.96,0.0062,0.196,0.0126,1.2475,0.0265
