"q_spec","g_spec","sampling","rung","method","n_reps","n_diverged","Psi","bias","emp_sd","mean_se","se_ratio","coverage","mcse_cov","deff_clust","icc_eif","w_cv","df_design"
"C","C","info","L1_param","FA-w",848,152,0.2092,-0.0014,0.0532,0.1054,1.9798,0.9646,0.0063,1.3551,0.0461,1.4097,50
"C","C","info","L1_param","CF-u",1000,0,0.2092,-0.0037,0.0433,0.0464,1.0723,0.96,0.0062,1.3551,0.0461,1.4097,50
"C","C","info","L1_param","CF-w",885,115,0.2092,-0.0065,0.0742,0.1377,1.8548,0.9684,0.0059,1.3551,0.0461,1.4097,50
"C","W","info","L1_param","FA-w",850,150,0.2092,0.0029,0.0646,0.1082,1.6749,0.9647,0.0063,1.3314,0.0412,1.4097,50
"C","W","info","L1_param","CF-u",1000,0,0.2092,-0.0029,0.0428,0.0458,1.0711,0.962,0.006,1.3314,0.0412,1.4097,50
"C","W","info","L1_param","CF-w",895,105,0.2092,-0.0021,0.0744,0.1434,1.9272,0.9721,0.0055,1.3314,0.0412,1.4097,50
"W","C","info","L1_param","FA-w",823,177,0.2092,0.0027,0.0544,0.1055,1.9411,0.9672,0.0062,1.3462,0.0458,1.4097,50
"W","C","info","L1_param","CF-u",1000,0,0.2092,-0.0048,0.0443,0.0478,1.0805,0.951,0.0068,1.3462,0.0458,1.4097,50
"W","C","info","L1_param","CF-w",861,139,0.2092,0.0019,0.0795,0.148,1.8631,0.9768,0.0051,1.3462,0.0458,1.4097,50
"W","W","info","L1_param","FA-w",828,172,0.2092,0.0237,0.066,0.1082,1.6399,0.9541,0.0073,1.3283,0.0413,1.4097,50
"W","W","info","L1_param","CF-u",1000,0,0.2092,0.0195,0.045,0.0468,1.0407,0.941,0.0075,1.3283,0.0413,1.4097,50
"W","W","info","L1_param","CF-w",852,148,0.2092,0.019,0.078,0.1475,1.8912,0.9671,0.0061,1.3283,0.0413,1.4097,50
"C","C","noninfo","L1_param","FA-w",997,3,0.2092,-0.0033,0.0335,0.0339,1.0114,0.9418,0.0074,1.7739,0.0329,0,50
"C","C","noninfo","L1_param","CF-u",1000,0,0.2092,-0.0041,0.0332,0.033,0.9917,0.942,0.0074,1.7739,0.0329,0,50
"C","C","noninfo","L1_param","CF-w",998,2,0.2092,-0.0042,0.0344,0.0397,1.1553,0.9499,0.0069,1.7739,0.0329,0,50
"C","W","noninfo","L1_param","FA-w",993,7,0.2092,-0.0035,0.032,0.0507,1.5812,0.9507,0.0069,1.8336,0.0354,0,50
"C","W","noninfo","L1_param","CF-u",1000,0,0.2092,-0.0037,0.0335,0.0333,0.9967,0.948,0.007,1.8336,0.0354,0,50
"C","W","noninfo","L1_param","CF-w",992,8,0.2092,-0.0035,0.0369,0.0664,1.7971,0.9647,0.0059,1.8336,0.0354,0,50
