"g_floor","q_lo","scenario","rung","method","n_reps","n_diverged","Psi","bias","emp_sd","mean_se","se_ratio","coverage","mcse_cov","deff_clust","icc_eif"
0.05,0.001,"R1","L1_param","Fully-Aware-h",933,67,0.21,0.0203,0.0398,0.0448,1.1248,0.9335,0.0082,1.1992,0.0267
0.05,0.001,"R1","L1_param","Fully-Aware-CF-h",1000,0,0.21,0.0207,0.036,0.0356,0.9871,0.918,0.0087,1.1992,0.0267
0.05,0.001,"R1","L1_param","Partially-Aware-h",933,67,0.21,0.0203,0.0398,0.0407,1.023,0.9014,0.0098,1.1992,0.0267
0.05,0.001,"R1","L1_param","Non-Aware-h",1000,0,0.21,0.0441,0.0277,0.0209,0.755,0.458,0.0158,1.1992,0.0267
0.05,0.001,"R1","L2_smooth","Fully-Aware-h",1000,0,0.21,0.0093,0.0344,0.0338,0.9819,0.935,0.0078,1.1836,0.0255
0.05,0.001,"R1","L2_smooth","Fully-Aware-CF-h",1000,0,0.21,0.0154,0.0355,0.036,1.014,0.944,0.0073,1.1836,0.0255
0.05,0.001,"R1","L2_smooth","Fully-Aware-CV-h",1000,0,0.21,0.0092,0.0344,0.0339,0.9833,0.942,0.0074,1.1836,0.0255
0.05,0.001,"R1","L2_smooth","Partially-Aware-h",1000,0,0.21,0.0093,0.0344,0.0313,0.9094,0.922,0.0085,1.1836,0.0255
0.05,0.001,"R1","L2_smooth","Non-Aware-h",1000,0,0.21,0.0384,0.0278,0.0206,0.7406,0.526,0.0158,1.1836,0.0255
0.05,0.001,"R1","L3_adaptive","Fully-Aware-h",1000,0,0.21,0.0089,0.0343,0.0279,0.8135,0.874,0.0105,1.2113,0.0206
0.05,0.001,"R1","L3_adaptive","Fully-Aware-CF-h",1000,0,0.21,0.0143,0.0354,0.0356,1.0068,0.934,0.0079,1.2113,0.0206
0.05,0.001,"R1","L3_adaptive","Fully-Aware-CV-h",1000,0,0.21,0.009,0.0347,0.0276,0.7956,0.874,0.0105,1.2113,0.0206
0.05,0.001,"R1","L3_adaptive","Partially-Aware-h",1000,0,0.21,0.0089,0.0343,0.0256,0.745,0.842,0.0115,1.2113,0.0206
0.05,0.001,"R1","L3_adaptive","Non-Aware-h",1000,0,0.21,0.0379,0.0278,0.0187,0.6714,0.477,0.0158,1.2113,0.0206
0.05,0.001,"R1","L4_aggressive","Fully-Aware-h",1000,0,0.21,0.0514,0.0534,0.0162,0.3037,0.328,0.0148,1.2999,0.0138
0.05,0.001,"R1","L4_aggressive","Fully-Aware-CF-h",1000,0,0.21,0.0064,0.0366,0.0519,1.4171,0.991,0.003,1.2999,0.0138
0.05,0.001,"R1","L4_aggressive","Partially-Aware-h",1000,0,0.21,0.0514,0.0534,0.0143,0.2682,0.27,0.014,1.2999,0.0138
0.05,0.001,"R1","L4_aggressive","Non-Aware-h",1000,0,0.21,0.0506,0.0293,0.0106,0.3601,0.148,0.0112,1.2999,0.0138
0.05,0.001,"standard","L1_param","Fully-Aware-h",828,172,0.2092,0.0237,0.066,0.1082,1.6399,0.9541,0.0073,1.3283,0.0413
0.05,0.001,"standard","L1_param","Fully-Aware-CF-h",1000,0,0.2092,0.0192,0.0444,0.0466,1.0503,0.945,0.0072,1.3283,0.0413
0.05,0.001,"standard","L1_param","Partially-Aware-h",828,172,0.2092,0.0237,0.066,0.0931,1.4101,0.9396,0.0083,1.3283,0.0413
0.05,0.001,"standard","L1_param","Non-Aware-h",1000,0,0.2092,0.0311,0.0393,0.0244,0.6215,0.638,0.0152,1.3283,0.0413
0.05,0.001,"standard","L2_smooth","Fully-Aware-h",1000,0,0.2092,0.0084,0.0439,0.0442,1.0071,0.942,0.0074,1.2454,0.0336
0.05,0.001,"standard","L2_smooth","Fully-Aware-CF-h",1000,0,0.2092,0.013,0.0447,0.0473,1.0578,0.947,0.0071,1.2454,0.0336
0.05,0.001,"standard","L2_smooth","Fully-Aware-CV-h",1000,0,0.2092,0.0082,0.0441,0.0444,1.0063,0.94,0.0075,1.2454,0.0336
0.05,0.001,"standard","L2_smooth","Partially-Aware-h",1000,0,0.2092,0.0084,0.0439,0.0399,0.9098,0.923,0.0084,1.2454,0.0336
0.05,0.001,"standard","L2_smooth","Non-Aware-h",1000,0,0.2092,0.0253,0.0391,0.0241,0.6158,0.684,0.0147,1.2454,0.0336
0.05,0.001,"standard","L3_adaptive","Fully-Aware-h",1000,0,0.2092,0.0089,0.0457,0.035,0.7659,0.842,0.0115,1.3078,0.0289
