"scenario","rung","base_m","m_total","n_reps","mean_n","mean_m_psu","mean_eQ","mean_eg","mean_prod","mean_prod_sqrtm","sd_prod_sqrtm","mean_eQ_real","mean_eg_real","mean_prod_real_sqrtm","truth_join","prod_sqrtm_vs_L1","trend_vs_m6"
"standard","L1_param",6,60,200,1518,60,0.10115,0.07964,0.00806,0.0624,0.01198,0.21097,0.1919,0.31381,"OK",1,1
"standard","L2_smooth",6,60,200,1518,60,0.09233,0.07609,0.00704,0.0545,0.01124,0.20668,0.19033,0.30508,"OK",0.8734,1
"standard","L3_adaptive",6,60,200,1518,60,0.09313,0.07796,0.00728,0.05636,0.01233,0.20705,0.19135,0.30723,"OK",0.90312,1
"standard","L4_aggressive",6,60,200,1518,60,0.16146,0.159,0.02567,0.19887,0.01926,0.24513,0.23634,0.44907,"OK",3.18681,1
"standard","L1_param",12,120,200,3036,120,0.09261,0.06686,0.0062,0.06795,0.00995,0.20769,0.18703,0.42557,"OK",1,1.08887
"standard","L2_smooth",12,120,200,3036,120,0.07756,0.06059,0.0047,0.05145,0.00737,0.20128,0.18503,0.40805,"OK",0.75722,0.94403
"standard","L3_adaptive",12,120,200,3036,120,0.07792,0.06131,0.00478,0.05231,0.00807,0.20147,0.18536,0.40921,"OK",0.76991,0.92826
"standard","L4_aggressive",12,120,200,3036,120,0.14949,0.14634,0.02187,0.23961,0.0158,0.23834,0.22759,0.59434,"OK",3.52627,1.20486
"standard","L1_param",20,200,200,5060,200,0.08857,0.06326,0.00561,0.07929,0.00768,0.20579,0.1866,0.54312,"OK",1,1.27064
"standard","L2_smooth",20,200,200,5060,200,0.06764,0.05286,0.00358,0.05063,0.00699,0.19752,0.18338,0.51231,"OK",0.63849,0.92889
"standard","L3_adaptive",20,200,200,5060,200,0.06738,0.05296,0.00357,0.0505,0.00695,0.19743,0.18343,0.51218,"OK",0.63684,0.896
"standard","L4_aggressive",20,200,200,5060,200,0.14236,0.13947,0.01985,0.28076,0.01404,0.23368,0.22433,0.74135,"OK",3.54091,1.41183
"standard","L1_param",30,300,200,7590,300,0.08651,0.06086,0.00527,0.09122,0.00602,0.20493,0.18482,0.65601,"OK",1,1.46184
"standard","L2_smooth",30,300,200,7590,300,0.06136,0.04714,0.00289,0.05008,0.00526,0.19521,0.18085,0.61146,"OK",0.54899,0.91886
"standard","L3_adaptive",30,300,200,7590,300,0.06109,0.04712,0.00288,0.04985,0.00525,0.19515,0.18073,0.61089,"OK",0.54644,0.8845
"standard","L4_aggressive",30,300,200,7590,300,0.13657,0.13465,0.01839,0.31852,0.01186,0.22993,0.2205,0.87813,"OK",3.4916,1.60165
