"scenario","rung","method","n_reps","Psi","bias","emp_sd","mean_se","se_ratio","coverage","mcse_cov","deff_clust","icc_eif"
"R1","L1_param","Fully-Aware",1000,0.21,0.0179,0.0344,0.0347,1.0068,0.933,0.0079,1.1805,0.0249
"R1","L1_param","Fully-Aware-CF",1000,0.21,0.0207,0.0357,0.0357,0.9994,0.914,0.0089,1.1805,0.0249
"R1","L1_param","Partially-Aware",1000,0.21,0.0179,0.0344,0.0322,0.9338,0.901,0.0094,1.1805,0.0249
"R1","L1_param","Non-Aware",1000,0.21,0.0441,0.0277,0.021,0.7573,0.457,0.0158,1.1805,0.0249
"R1","L2_smooth","Fully-Aware",1000,0.21,0.0103,0.0345,0.034,0.985,0.94,0.0075,1.1793,0.0254
"R1","L2_smooth","Fully-Aware-CF",1000,0.21,0.0159,0.0355,0.036,1.0144,0.941,0.0075,1.1793,0.0254
"R1","L2_smooth","Fully-Aware-CV",1000,0.21,0.0091,0.0344,0.0338,0.9841,0.943,0.0073,1.1793,0.0254
"R1","L2_smooth","Partially-Aware",1000,0.21,0.0103,0.0345,0.0316,0.9139,0.924,0.0084,1.1793,0.0254
"R1","L2_smooth","Non-Aware",1000,0.21,0.0384,0.0277,0.0208,0.749,0.535,0.0158,1.1793,0.0254
"R1","L3_adaptive","Fully-Aware",1000,0.21,0.0107,0.035,0.0306,0.8743,0.899,0.0095,1.1966,0.0226
"R1","L3_adaptive","Fully-Aware-CF",1000,0.21,0.0148,0.0353,0.0355,1.0045,0.939,0.0076,1.1966,0.0226
"R1","L3_adaptive","Fully-Aware-CV",1000,0.21,0.009,0.0344,0.0275,0.8002,0.877,0.0104,1.1966,0.0226
"R1","L3_adaptive","Partially-Aware",1000,0.21,0.0107,0.035,0.0282,0.8062,0.86,0.011,1.1966,0.0226
"R1","L3_adaptive","Non-Aware",1000,0.21,0.0385,0.0278,0.0195,0.7017,0.493,0.0158,1.1966,0.0226
"R1","L4_aggressive","Fully-Aware",1000,0.21,0.0713,0.1199,0.0179,0.1493,0.216,0.013,1.2886,0.0215
"R1","L4_aggressive","Fully-Aware-CF",1000,0.21,0.0064,0.0363,0.0522,1.4403,0.992,0.0028,1.2886,0.0215
"R1","L4_aggressive","Partially-Aware",1000,0.21,0.0713,0.1199,0.0159,0.1326,0.181,0.0122,1.2886,0.0215
"R1","L4_aggressive","Non-Aware",1000,0.21,0.0653,0.0321,0.012,0.374,0.088,0.009,1.2886,0.0215
"standard","L1_param","Fully-Aware",1000,0.2092,0.0183,0.0435,0.0449,1.0324,0.934,0.0079,1.2474,0.0338
"standard","L1_param","Fully-Aware-CF",1000,0.2092,0.0192,0.0449,0.0467,1.0406,0.942,0.0074,1.2474,0.0338
"standard","L1_param","Partially-Aware",1000,0.2092,0.0183,0.0435,0.0405,0.9313,0.914,0.0089,1.2474,0.0338
"standard","L1_param","Non-Aware",1000,0.2092,0.0312,0.0393,0.0245,0.6245,0.638,0.0152,1.2474,0.0338
"standard","L2_smooth","Fully-Aware",1000,0.2092,0.0102,0.0437,0.044,1.0066,0.942,0.0074,1.2447,0.0336
"standard","L2_smooth","Fully-Aware-CF",1000,0.2092,0.0128,0.0444,0.0475,1.0702,0.952,0.0068,1.2447,0.0336
"standard","L2_smooth","Fully-Aware-CV",1000,0.2092,0.0084,0.044,0.0446,1.0148,0.94,0.0075,1.2447,0.0336
"standard","L2_smooth","Partially-Aware",1000,0.2092,0.0102,0.0437,0.0398,0.9093,0.922,0.0085,1.2447,0.0336
"standard","L2_smooth","Non-Aware",1000,0.2092,0.0254,0.039,0.0243,0.6227,0.691,0.0146,1.2447,0.0336
"standard","L3_adaptive","Fully-Aware",1000,0.2092,0.0112,0.044,0.039,0.886,0.895,0.0097,1.2795,0.0313
"standard","L3_adaptive","Fully-Aware-CF",1000,0.2092,0.012,0.0442,0.0467,1.0555,0.951,0.0068,1.2795,0.0313
"standard","L3_adaptive","Fully-Aware-CV",1000,0.2092,0.0084,0.0467,0.0344,0.7359,0.847,0.0114,1.2795,0.0313
"standard","L3_adaptive","Partially-Aware",1000,0.2092,0.0112,0.044,0.0348,0.7909,0.861,0.0109,1.2795,0.0313
"standard","L3_adaptive","Non-Aware",1000,0.2092,0.0256,0.039,0.0227,0.581,0.654,0.015,1.2795,0.0313
"standard","L4_aggressive","Fully-Aware",1000,0.2092,0.1158,0.1385,0.0237,0.1713,0.22,0.0131,1.4042,0.036
"standard","L4_aggressive","Fully-Aware-CF",1000,0.2092,0.0019,0.046,0.0662,1.4389,0.985,0.0038,1.4042,0.036
"standard","L4_aggressive","Partially-Aware",1000,0.2092,0.1158,0.1385,0.0202,0.1459,0.184,0.0123,1.4042,0.036
"standard","L4_aggressive","Non-Aware",1000,0.2092,0.0715,0.0364,0.0141,0.3889,0.108,0.0098,1.4042,0.036
